lp_apy,prot_apy,loss_rate_per_Myear,net_cost_per_Myear,cum_payouts_M
0.07949304956693573,0.025911405538560004,0.012008149210430804,-0.003329875456442232,69.72670330953011
0.08807240010119646,0.037463684657569225,0.009289216237253668,-0.004633370789977727,52.488925505139996
0.102592223081903,0.03993944076038116,0.007859589432649496,-0.005288045069885183,46.468119994588506
0.13825010362732407,0.06553606684025372,0.0005385081088440224,-0.00831651725173019,3.190784132170307
0.11757126982807706,0.05804404579602334,0.003925376940166171,-0.00725735007603327,22.44982016036716
0.13347022413599458,0.061885279044855815,0.0016843564454048798,-0.008108136731400224,10.1517915134957
0.12105251305356227,0.05850281824734284,0.0035548598911197622,-0.0075389858334691745,20.992364363415184
0.13595363239273545,0.07107831432768552,0.0,-0.008706653790625376,0.0
0.10311011496917277,0.05165321207919279,0.006442344350075649,-0.006658324858195666,37.12882428672779
0.046847876505889965,0.022106391809802048,0.01472493390558972,-0.0027795676561287934,81.49491415880426
0.09562855186248058,0.04950395247626295,0.007673327102248059,-0.006153369458409521,44.03350832720457
0.10299926064439956,0.057407452201029156,0.005822511668328223,-0.007082138876373696,33.58821071304418
0.1078302827549964,0.047358915231250034,0.006481498618267019,-0.0061246768091833045,37.978981785189
0.10002399947585851,0.04555134324607314,0.007358460179588659,-0.005862673624090802,43.659428306262384
0.10685111833660849,0.051439626795081794,0.006169220965270008,-0.006692127131806838,36.19412312449052
0.11815748198948027,0.05489240587749523,0.0042239547787569255,-0.0068474485958344095,24.3635701052911
0.13465546055132535,0.0602313153885233,0.0017541233067330337,-0.007714457458611434,10.532777317598036
0.11296619891464446,0.04846005233658071,0.00571969055361172,-0.006240212911669135,33.383586186555505
0.07875372826628406,0.035687314351666125,0.010526501468025529,-0.004707683245783776,61.13028044546987
0.0914576237873437,0.046567999105576595,0.00813950647903776,-0.0058309248266271724,46.31879198165681
0.09178283825810245,0.04192524756618357,0.008767778945594657,-0.005168337225801399,50.98699384623682
0.09816973108476723,0.04305030853805631,0.008103377222692415,-0.005774052719528806,47.33857540111505
0.13388298236681298,0.05913498508309332,0.0020091591119185508,-0.007699333741305659,11.785041043964943
0.02076958930109606,0.01759052993522476,0.01820809144780899,-0.002270796793607144,103.13416012568652
0.09669614677265118,0.04758813297995635,0.007418877045766415,-0.005918842552185089,42.28362150581404
0.12703245404206326,0.0553209727191708,0.0031817353591881404,-0.0069759085667472215,18.567661465434945
0.09517665159847398,0.05325036177497195,0.007058050064021528,-0.0067098017348542266,41.0751130412638
0.0829521449352618,0.04754450936422057,0.009172453546577143,-0.0062121875825779365,55.023836897247264
0.10623963252242556,0.04820684347902577,0.006542798355543258,-0.006362001619950525,38.99895500250633
0.09936584443631957,0.03946268373599683,0.00845220349995525,-0.005330841636671331,49.40166431532996
0.07902667197251553,0.01122296177317545,0.014364029711513092,-0.0015225989543975707,87.00053060088356
0.1296214429951883,0.06434609496934734,0.0017709327468453152,-0.007967320805160438,10.342672083683569
0.09550310349714916,0.038747707422022284,0.008834984111968312,-0.004980286522114066,52.98258029413287
0.09737167692243345,0.04835905960454538,0.007513321604192587,-0.006270202989018202,43.86456326450019
0.11129782670614813,0.05192816691331917,0.005500495937101151,-0.00654043384865634,31.8033909223994
0.10453980941458736,0.045956968630880675,0.00715741432020694,-0.006018113096454538,42.30911067612663
0.10554719826393291,0.05257977749277997,0.00617016152311299,-0.0066055595883851145,35.74581892863286
0.10529714554840001,0.051976680711052436,0.006155417960574496,-0.0066272179664422035,36.195847198474986
0.13396082942550355,0.060326184280535745,0.0017940990163267435,-0.007586391266218839,10.62188228742343
0.12814210866484213,0.05513153157769548,0.0031542285380260363,-0.006935403895668662,18.523912729772125
0.11406384941903065,0.04429555306070385,0.006195699882812019,-0.005868234593173345,36.24596929607223
0.10203497995042039,0.02900833625982735,0.009594498832148437,-0.003851231287334273,57.912802588382604
0.08694972014684044,0.05144266878499844,0.00816035668434214,-0.006422727403944663,47.64755530377611
0.10051011775006223,0.03759479597364687,0.00849103190530824,-0.004901834318571378,51.521623536820975
0.11595906935082519,0.03683011239981334,0.007255963360098991,-0.005031397957453112,44.372369940259794
0.10352162071485123,0.04627814302657383,0.007066281474089982,-0.006063938126228411,41.40329536774704
0.1002273163920368,0.053986421192962035,0.00656275661728567,-0.007089857153470776,39.92293655230554
0.0902988893900002,0.04801242770869529,0.008354003526079162,-0.006085943143341741,48.1150487153916
0.12910012232431917,0.05795959658495072,0.0026416398884099484,-0.007342622053183952,15.625656338823088
0.07871773836665232,0.04522609452273626,0.009775591941685742,-0.005858353134559051,56.83986922142775
0.12365561866991238,0.06283398463116568,0.0025995082593861163,-0.007765238197210366,14.692578283886219
0.1296292730995794,0.06202077755579087,0.0020683021367819037,-0.007703993274069099,12.012965248100818
0.10519828936978742,0.042022487890348,0.007613182758481287,-0.005551966129620273,44.93425038062634
0.10819526975716975,0.0488830947937525,0.006000604555720613,-0.0060905427669903775,34.33791142232782
0.1133905544859184,0.051804776462188874,0.005380478441977488,-0.006691588787919726,31.3432301306622
0.11058247591851099,0.052661804375463674,0.005465838377837339,-0.0066788749737416294,32.42396855370409
0.12432928994798616,0.05142682115172782,0.003989184120070327,-0.006529799520712715,23.372223204850584
0.08702205207600118,0.04658228981078698,0.008530109308745095,-0.005757788285573165,49.68302054891046
0.09415504650969432,0.04335772191562693,0.007878873659092933,-0.005408144462894257,45.190765122386935
0.12286913717892409,0.04271653754089495,0.005524338939539818,-0.005648055918813402,33.09682731927477
